DATE,TIME,VOLUME,OPEN,CLOSE,MIN,MAX
09/15/2011,17:54:01,341,.6327,.6328,.6326,.6329
09/15/2011,17:55:01,347,.6328,.6326,.6326,.6328
09/15/2011,17:56:01,316,.6327,.6326,.6326,.6328
09/15/2011,17:57:01,217,.6327,.6326,.6326,.6328
09/15/2011,17:58:01,333,.6326,.6327,.6326,.6328
09/15/2011,17:59:01,446,.6327,.6328,.6326,.6329
09/15/2011,18:00:01,304,.6328,.6327,.6326,.6329
09/15/2011,18:01:01,380,.6326,.6326,.6325,.6328
09/15/2011,18:02:01,302,.6326,.6325,.6325,.6327
09/15/2011,18:03:01,472,.6325,.6326,.6324,.6327
09/15/2011,18:04:01,441,.6326,.6325,.6324,.6327
09/15/2011,18:05:01,376,.6326,.6325,.6324,.6326
09/15/2011,18:06:01,309,.6324,.6324,.6324,.6326
09/15/2011,18:07:01,330,.6324,.6325,.6324,.6326
09/15/2011,18:08:01,299,.6325,.6326,.6324,.6327
09/15/2011,18:09:01,348,.6326,.6324,.6324,.6327
09/15/2011,18:10:01,466,.6324,.6324,.6322,.6325
09/15/2011,18:11:01,393,.6323,.6324,.6322,.6325
09/15/2011,18:12:01,372,.6323,.6323,.6322,.6324
09/15/2011,18:13:01,460,.6322,.6324,.6322,.6325
09/15/2011,18:14:01,418,.6324,.6324,.6323,.6326
09/15/2011,18:15:01,428,.6324,.6323,.6322,.6325
09/15/2011,18:16:01,421,.6323,.6323,.6322,.6325
09/15/2011,18:17:01,337,.6323,.6324,.6322,.6324
09/15/2011,18:18:01,311,.6324,.6324,.6322,.6326
09/15/2011,18:19:01,365,.6324,.6324,.6323,.6325
09/15/2011,18:20:01,322,.6324,.6324,.6323,.6325
09/15/2011,18:21:01,309,.6324,.6325,.6323,.6326
09/15/2011,18:22:01,210,.6325,.6325,.6324,.6326
09/15/2011,18:23:01,238,.6325,.6325,.6324,.6326
09/15/2011,18:24:01,345,.6325,.6325,.6324,.6326
09/15/2011,18:25:01,366,.6325,.6326,.6324,.6327
09/15/2011,18:26:01,306,.6326,.6326,.6326,.6328
09/15/2011,18:27:01,351,.6327,.6326,.6325,.6328
09/15/2011,18:28:01,256,.6327,.6326,.6325,.6327
09/15/2011,18:29:01,236,.6326,.6326,.6325,.6327
09/15/2011,18:30:01,268,.6326,.6326,.6325,.6327
09/15/2011,18:31:01,214,.6325,.6326,.6324,.6326
09/15/2011,18:32:01,205,.6326,.6326,.6325,.6327
09/15/2011,18:33:01,169,.6326,.6326,.6325,.6327
09/15/2011,18:34:01,228,.6326,.6326,.6325,.6327
09/15/2011,18:35:01,388,.6326,.6325,.6324,.6326
09/15/2011,18:36:01,323,.6324,.6327,.6324,.6327
09/15/2011,18:37:01,444,.6327,.6325,.6324,.6327
09/15/2011,18:38:01,290,.6326,.6326,.6324,.6328
09/15/2011,18:39:01,303,.6326,.6325,.6324,.6327
09/15/2011,18:40:01,475,.6325,.6326,.6324,.6327
09/15/2011,18:41:01,434,.6325,.6325,.6324,.6327
09/15/2011,18:42:01,323,.6326,.6326,.6324,.6327
09/15/2011,18:43:01,422,.6326,.6325,.6324,.6327
09/15/2011,18:44:01,212,.6325,.6325,.6324,.6326
09/15/2011,18:45:01,231,.6325,.6325,.6324,.6326
09/15/2011,18:46:01,269,.6325,.6325,.6324,.6326
09/15/2011,18:47:01,428,.6325,.6326,.6324,.6327
09/15/2011,18:48:01,330,.6327,.6326,.6325,.6328
09/15/2011,18:49:01,372,.6326,.6326,.6324,.6327
09/15/2011,18:50:01,403,.6326,.6328,.6325,.6328
09/15/2011,18:51:01,369,.6328,.6329,.6326,.633
09/15/2011,18:52:01,213,.6328,.6329,.6327,.6329
09/15/2011,18:53:01,237,.6328,.6328,.6328,.633
09/15/2011,18:54:01,270,.6328,.6328,.6327,.633
09/15/2011,18:55:01,325,.6328,.6328,.6327,.6329
09/15/2011,18:56:01,317,.6327,.6328,.6326,.6329
09/15/2011,18:57:01,318,.6327,.6326,.6325,.6328
09/15/2011,18:58:01,411,.6326,.6326,.6325,.6328
09/15/2011,18:59:01,466,.6326,.6326,.6325,.6329
09/15/2011,19:00:01,383,.6326,.6326,.6325,.6328
09/15/2011,19:01:01,303,.6326,.6327,.6326,.6328
09/15/2011,19:02:01,244,.6327,.6327,.6326,.6328
09/15/2011,19:03:01,296,.6326,.6327,.6326,.6328
09/15/2011,19:04:01,323,.6327,.6326,.6326,.6328
09/15/2011,19:05:01,281,.6326,.6327,.6326,.6328
09/15/2011,19:06:01,355,.6327,.6327,.6326,.6328
09/15/2011,19:07:01,237,.6326,.6326,.6326,.6328
09/15/2011,19:08:01,214,.6326,.6326,.6326,.6328
09/15/2011,19:09:01,248,.6326,.6327,.6326,.6328
09/15/2011,19:10:01,282,.6327,.6326,.6326,.6328
09/15/2011,19:11:01,369,.6326,.6326,.6325,.6328
09/15/2011,19:12:01,259,.6326,.6327,.6325,.6327
09/15/2011,19:13:01,183,.6326,.6326,.6325,.6327
09/15/2011,19:14:01,257,.6326,.6326,.6325,.6327
09/15/2011,19:15:01,252,.6326,.6327,.6325,.6328
09/15/2011,19:16:01,214,.6326,.6326,.6326,.6328
09/15/2011,19:17:01,309,.6326,.6326,.6326,.6328
09/15/2011,19:18:01,344,.6326,.6326,.6325,.6328
09/15/2011,19:19:01,346,.6327,.6328,.6326,.6329
09/15/2011,19:20:01,345,.6328,.6329,.6326,.6329
09/15/2011,19:21:01,269,.6329,.6328,.6327,.6329
09/15/2011,19:22:01,320,.6328,.6327,.6327,.6329
09/15/2011,19:23:01,299,.6327,.6327,.6326,.6328
09/15/2011,19:24:01,247,.6327,.6327,.6326,.6328
09/15/2011,19:25:01,253,.6327,.6327,.6326,.6328
09/15/2011,19:26:01,254,.6327,.6327,.6326,.6328
09/15/2011,19:27:01,128,.6327,.6327,.6326,.6328
09/15/2011,19:28:01,93,.6327,.6327,.6326,.6329
09/15/2011,19:29:01,331,.6327,.6329,.6326,.6331
09/15/2011,19:30:01,287,.6329,.633,.6328,.6331
09/15/2011,19:31:01,183,.633,.6331,.6329,.6332
09/15/2011,19:32:01,151,.6331,.6331,.633,.6332
09/15/2011,19:33:01,182,.6331,.633,.6329,.6332
09/15/2011,19:34:01,220,.633,.6329,.6328,.633
09/15/2011,19:35:01,192,.6328,.6329,.6328,.633
09/15/2011,19:36:01,297,.6329,.6329,.6328,.633
